Match_id,Team1,Team2,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
452147,1,8,2010,1,101,RG Sharma,1,AD Mathews,TM Dilshan,TT Samaraweera,WU Tharanga,CK Kapugedera,LPC Silva,NLTC Perera,KMDN Kulasekara,S Randiv,BAW Mendis,CRD Fernando
452148,0,8,2010,8,101,S Randiv,8,CR Ervine,BRM Taylor,GA Lamb,H Masakadza,CK Coventry,E Chigumbura,AM Blignaut,AG Cremer,P Utseya,RW Price,CB Mpofu
452149,0,1,2010,0,101,BRM Taylor,0,RG Sharma,M Vijay,V Kohli,KD Karthik,SK Raina,RA Jadeja,YK Pathan,A Mishra,AB Dinda,PP Ojha,UT Yadav
452150,1,8,2010,8,101,LD Chandimal,8,YK Pathan,NV Ojha,V Kohli,KD Karthik,RG Sharma,SK Raina,RA Jadeja,R Ashwin,AB Dinda,Pankaj Singh,PP Ojha
452151,0,8,2010,0,101,BRM Taylor,0,CK Kapugedera,TM Dilshan,LD Chandimal,WU Tharanga,TT Samaraweera,BMAJ Mendis,HDRL Thirimanne,NLTC Perera,S Randiv,T Thushara,CRD Fernando
452152,0,8,2010,8,101,TM Dilshan,8,CR Ervine,BRM Taylor,T Taibu,H Masakadza,GA Lamb,E Chigumbura,CK Coventry,AG Cremer,P Utseya,RW Price,CB Mpofu
455231,8,5,2010,8,100,Shahid Afridi,8,DPMD Jayawardene,TM Dilshan,KC Sangakkara,WU Tharanga,TT Samaraweera,AD Mathews,CK Kapugedera,MF Maharoof,KMDN Kulasekara,SL Malinga,M Muralitharan
455232,6,1,2010,6,100,G Gambhir,1,Mushfiqur Rahim,Imrul Kayes,Mohammad Ashraful,Tamim Iqbal,Shakib Al Hasan,Mahmudullah,Naeem Islam,Suhrawadi Shuvo,Mashrafe Mortaza,Shafiul Islam,Syed Rasel
455233,8,6,2010,8,100,TM Dilshan,8,DPMD Jayawardene,TM Dilshan,KC Sangakkara,WU Tharanga,AD Mathews,CK Kapugedera,KMDN Kulasekara,SL Malinga,M Muralitharan,UWMBCA Welegedara,Nan
455234,1,5,2010,5,100,G Gambhir,1,Umar Akmal,Imran Farhat,Shoaib Malik,Salman Butt,Umar Amin,Shahid Afridi,Kamran Akmal,Abdul Razzaq,Mohammad Amir,Shoaib Akhtar,Saeed Ajmal
455235,6,5,2010,5,100,Shahid Afridi,5,Asad Shafiq,Shahzaib Hasan,Umar Amin,Imran Farhat,Umar Akmal,Shahid Afridi,Kamran Akmal,Abdul Razzaq,Abdur Rehman,Shoaib Akhtar,Mohammad Asif
455236,8,1,2010,8,101,MF Maharoof,8,RG Sharma,KD Karthik,V Kohli,G Gambhir,SK Raina,MS Dhoni,RA Jadeja,P Kumar,Z Khan,AB Dinda,PP Ojha
456662,1,2,2010,2,100,LRPL Taylor,2,KS Williamson,MJ Guptill,LRPL Taylor,PJ Ingram,SB Styris,JDP Oram,GD Elliott,GJ Hopkins,DR Tuffey,KD Mills,AJ McKay
456663,8,1,2010,8,100,V Sehwag,1,DPMD Jayawardene,KC Sangakkara,TM Dilshan,WU Tharanga,TT Samaraweera,AD Mathews,CK Kapugedera,S Randiv,KMDN Kulasekara,SL Malinga,CRD Fernando
456664,8,2,2010,2,100,WU Tharanga,8,KS Williamson,MJ Guptill,LRPL Taylor,BJ Watling,SB Styris,GJ Hopkins,NL McCullum,DR Tuffey,KD Mills,TG Southee,AJ McKay
456665,1,2,2010,1,100,V Sehwag,1,Yuvraj Singh,V Kohli,V Sehwag,KD Karthik,SK Raina,MS Dhoni,RA Jadeja,P Kumar,A Nehra,I Sharma,MM Patel
456666,8,1,2010,1,100,NLTC Perera,8,Yuvraj Singh,V Sehwag,RG Sharma,KD Karthik,SK Raina,MS Dhoni,RA Jadeja,P Kumar,A Nehra,I Sharma,PP Ojha
456668,8,1,2010,8,100,TM Dilshan,8,KC Sangakkara,TM Dilshan,WU Tharanga,DPMD Jayawardene,CK Kapugedera,AD Mathews,LPC Silva,NLTC Perera,S Randiv,KMDN Kulasekara,SL Malinga
461566,5,4,2010,5,100,LL Tsotsobe,4,MisbahNanulNanHaq,Mohammad Hafeez,Younis Khan,Asad Shafiq,Fawad Alam,Shahid Afridi,Abdul Razzaq,Zulqarnain Haider,Umar Gul,Saeed Ajmal,Shoaib Akhtar
461567,5,4,2010,4,100,Abdul Razzaq,5,AB de Villiers,RJ Peterson,CA Ingram,HM Amla,JP Duminy,DA Miller,JA Morkel,J Botha,M Morkel,CK Langeveldt,LL Tsotsobe
